index,filename,latency_s,num_detections,warmup
280,000000030504.jpg,0.7265077929996551,3,False
281,000000030675.jpg,0.7322113549998903,1,False
282,000000030785.jpg,0.7239929479997045,2,False
283,000000030828.jpg,0.7302605539998694,4,False
284,000000031050.jpg,0.7238640549999218,2,False
285,000000031093.jpg,0.7377690149996852,4,False
286,000000031118.jpg,0.7244513199998437,9,False
287,000000031217.jpg,0.7366515559997424,3,False
288,000000031248.jpg,0.7245079620001889,4,False
289,000000031269.jpg,0.7340413310002987,3,False
290,000000031296.jpg,0.727735575999759,26,False
291,000000031322.jpg,0.7385603630000332,14,False
292,000000031620.jpg,0.7573999249998451,4,False
293,000000031735.jpg,0.7424722109999493,4,False
294,000000031749.jpg,0.7270103259997995,1,False
295,000000031817.jpg,0.7356377989999601,3,False
296,000000032038.jpg,0.7248837669999375,2,False
297,000000032081.jpg,0.739502499000082,2,False
298,000000032285.jpg,0.7228407810002864,1,False
299,000000032334.jpg,0.744373966999774,10,False
301,000000032610.jpg,0.7280264319997514,5,False
303,000000032811.jpg,0.7276426859998537,2,False
304,000000032817.jpg,0.7731383469999855,5,False
305,000000032861.jpg,0.7275844300002063,2,False
306,000000032887.jpg,0.7537886200002504,2,False
308,000000032941.jpg,0.7224623639999663,6,False
309,000000033005.jpg,0.7409357830001682,2,False
310,000000033104.jpg,0.7274368650000724,5,False
311,000000033109.jpg,0.7408858730000247,6,False
312,000000033114.jpg,0.7264731140003278,2,False
313,000000033221.jpg,0.7447042660000989,8,False
314,000000033368.jpg,0.7305810719999499,2,False
316,000000033707.jpg,0.7268768110002384,1,False
318,000000033854.jpg,0.7320512840001356,11,False
319,000000034071.jpg,0.7325068509999255,2,False
321,000000034205.jpg,0.7194442169998183,0,False
322,000000034257.jpg,0.7413275839999187,1,False
324,000000034452.jpg,0.7269651159999739,3,False
326,000000034873.jpg,0.7261814560001767,7,False
328,000000035197.jpg,0.7209570209997764,3,False
330,000000035326.jpg,0.7432950510001319,1,False
331,000000035682.jpg,0.7296202539996557,9,False
332,000000035770.jpg,0.7421458629996778,0,False
333,000000035963.jpg,0.723099259999799,1,False
335,000000036539.jpg,0.7255450790003124,4,False
336,000000036660.jpg,0.7307365789997675,6,False
338,000000036844.jpg,0.7275347760000841,6,False
340,000000036936.jpg,0.7233762369996839,9,False
342,000000037689.jpg,0.7484742239998923,9,False
344,000000037751.jpg,0.7538055089999034,2,False
345,000000037777.jpg,0.7226581499999156,4,False
347,000000038048.jpg,0.7358066440001494,2,False
349,000000038118.jpg,0.7396178199996939,1,False
351,000000038576.jpg,0.7208209039999929,5,False
353,000000038825.jpg,0.7153955810003936,2,False
355,000000039405.jpg,0.7275565499999175,8,False
356,000000039477.jpg,0.7635313529999621,5,False
357,000000039480.jpg,0.7251803379999728,4,False
358,000000039484.jpg,0.7472346299996389,12,False
360,000000039670.jpg,0.7267546010002661,1,False
361,000000039769.jpg,0.7404195730000538,4,False
362,000000039785.jpg,0.7194134270002905,2,False
363,000000039914.jpg,0.7355391629998849,6,False
364,000000039951.jpg,0.7226426050001464,3,False
365,000000039956.jpg,0.7392854270001408,3,False
366,000000040036.jpg,0.7234370820001459,2,False
367,000000040083.jpg,0.7315386090003813,8,False
369,000000040757.jpg,0.7210982390001845,2,False
371,000000041633.jpg,0.7207610479999857,2,False
373,000000041872.jpg,0.7269487590001518,5,False
374,000000041888.jpg,0.7266743790000874,3,False
376,000000042070.jpg,0.7237732260000485,1,False
377,000000042102.jpg,0.7356029489997127,3,False
379,000000042276.jpg,0.7432288850000077,2,False
381,000000042528.jpg,0.7207654449998699,2,False
382,000000042563.jpg,0.7423894399998971,1,False
383,000000042628.jpg,0.7554683409998688,6,False
384,000000042888.jpg,0.7366985050002768,0,False
385,000000042889.jpg,0.7292068789997757,3,False
386,000000043314.jpg,0.7384302990003562,3,False
387,000000043435.jpg,0.7247681110002304,2,False
388,000000043581.jpg,0.740833826999733,2,False
390,000000043816.jpg,0.7385488740001165,5,False
391,000000044068.jpg,0.7241311930001757,2,False
392,000000044195.jpg,0.7417442109999683,3,False
393,000000044260.jpg,0.7249152979998144,2,False
395,000000044590.jpg,0.7393718929997704,16,False
397,000000044699.jpg,0.729680315999758,6,False
399,000000045070.jpg,0.7264306570000372,1,False
400,000000045090.jpg,0.7335574549997546,3,False
402,000000045472.jpg,0.7469123790001504,11,False
403,000000045550.jpg,0.7291544839999915,8,False
404,000000045596.jpg,0.7403022449998389,1,False
405,000000045728.jpg,0.7255129879999913,0,False
406,000000046031.jpg,0.7306772920001094,6,False
408,000000046252.jpg,0.7230049470003905,5,False
409,000000046378.jpg,0.7306954949999636,1,False
410,000000046463.jpg,0.7252763850001429,1,False
411,000000046497.jpg,0.7390268050003215,4,False
412,000000046804.jpg,0.727129488999708,1,False
414,000000047010.jpg,0.7364431060000243,3,False
415,000000047112.jpg,0.7532653910002409,6,False
416,000000047121.jpg,0.7291566280000552,2,False
417,000000047571.jpg,0.7448742319998019,3,False
418,000000047585.jpg,0.7233343960001548,6,False
419,000000047740.jpg,0.7433514429999377,2,False
421,000000047801.jpg,0.7296310219999214,1,False
423,000000047828.jpg,0.7260576829999081,7,False
425,000000048396.jpg,0.7492891940000845,4,False
426,000000048504.jpg,0.7289890560000458,3,False
